,Date,cumqty,Volume,avgprice,Open,Low,High,Close,sma,ema
0,2022-12-23 09:14:03,102.0,670242.0,6571.0,6571.0,6571.0,6571.0,6571.0,,6571.0
1,2022-12-23 09:15:04,30.0,197734.0,6591.133333333333,6591.0,6591.0,6592.0,6591.0,,6581.149862258952
2,2022-12-23 09:15:05,32.0,211127.0,6597.71875,6594.0,6594.0,6601.0,6597.0,,6586.764362876787
3,2022-12-23 09:15:06,48.0,316596.0,6595.75,6599.0,6590.0,6599.0,6590.0,,6589.0667725641515
4,2022-12-23 09:15:07,44.0,289990.0,6590.681818181818,6589.0,6588.0,6594.0,6592.0,,6589.400547182992
5,2022-12-23 09:15:08,29.0,191123.0,6590.448275862069,6592.0,6589.0,6592.0,6589.0,,6589.582463232443
6,2022-12-23 09:15:09,42.0,276838.0,6591.380952380952,6592.0,6589.0,6593.0,6590.0,,6589.852304425699
7,2022-12-23 09:15:10,225.0,1482520.0,6588.977777777778,6590.0,6588.0,6592.0,6588.0,,6589.736560907786
8,2022-12-23 09:15:11,31.0,204251.0,6588.741935483871,6589.0,6586.0,6593.0,6591.0,,6589.6186005894915
9,2022-12-23 09:15:12,9.0,59305.0,6589.444444444444,6590.0,6589.0,6590.0,6589.0,,6589.5998613014735
10,2022-12-23 09:15:13,57.0,375583.0,6589.175438596491,6588.0,6588.0,6592.0,6591.0,,6589.558010312359
11,2022-12-23 09:15:14,38.0,250594.0,6594.578947368421,6591.0,6591.0,6598.0,6597.0,,6590.01549754842
12,2022-12-23 09:15:15,37.0,243980.0,6594.054054054054,6597.0,6592.0,6597.0,6593.0,,6590.357889889517
13,2022-12-23 09:15:16,23.0,151633.0,6592.739130434783,6592.0,6592.0,6593.0,6593.0,,6590.546850975857
14,2022-12-23 09:15:17,43.0,283503.0,6593.093023255814,6594.0,6591.0,6594.0,6594.0,,6590.736932420085
15,2022-12-23 09:15:18,3.0,19780.0,6593.333333333333,6594.0,6592.0,6594.0,6592.0,,6590.920092642235
16,2022-12-23 09:15:19,24.0,158262.0,6594.25,6593.0,6593.0,6597.0,6595.0,,6591.142930493334
17,2022-12-23 09:15:20,50.0,329869.0,6597.38,6596.0,6596.0,6599.0,6596.0,,6591.540241231354
18,2022-12-23 09:15:21,15.0,98947.0,6596.466666666666,6597.0,6596.0,6597.0,6596.0,,6591.839886334185
19,2022-12-23 09:15:22,33.0,217620.0,6594.545454545455,6597.0,6593.0,6597.0,6593.0,,6591.997449308838
